,ALink,SName,SLink,Lyric,Idiom
14,/10000-maniacs/,eat two,/10000-maniacs/eat-for-two.html,oh baby blanket baby shoe baby slipper baby spoon wall baby blue dream child head nightmare born borrowed bed lightning strike struck struck dead folly grows inside eat two walk two breathe two walk two breathe two eat two well egg man fell shelf good king men help struggled til end shell couldnt mend lead hush rock nursery kicking one inside eat two walk two breathe two eat two walk two breathe two boy boy girl girl found wicked world strong respect couldnt stand way begged gave pride men young girl run hide instead risk game taking dare yes eat two walk two breathe two eat two walk two breathe two walk two stumbling walk two stumbling breathe two cant breathe cant breathe five month grows five month begin show,ENGLISH
15,/10000-maniacs/,maddox table,/10000-maniacs/maddox-table.html,leg maddox kitchen table whole life twisted lathe foreman torrent first english faster boy want pay barking command loud simple could obey forever pulling silver rubbed sawdust always deeper eye varnish vapor could linger skin held tight whine spinning blade still echo bother sleep night see ox stamped dead center letter head company mail four decade spitting image animal portrayed maddox table yoke carved neck sun window oil spattered mason jar tricked plenty seed thrive standing joke around shop green thumb anythingd grow part laugh show ornery jig cut knuckle bone see ox trade mark burned every stick furniture horn tail four decade spitting image animal portrayed maddox table yoke carved neck tailor made dolly weak burdened girl treat piece vaudville wintergarden moving picture show bemus point july sunday trolley wed benefit wes strike bargain waving fist union man smoke spirit candy cologne automobile key cash bank deed place called home,ENGLISH
16,/10000-maniacs/,cant ignore train,/10000-maniacs/cant-ignore-the-train.html,steep water tower painted blue match sky cant ignore train night walk valley silent could swear earth moved cant ignore train dust kicked crack faced idle sinister town screen door rail station devil shoe ran along side wasted track hem pin darted calf cant ignore train one spoiled girl tidiest apology wedged inside throat cant ignore train patience virtue never could abide dungeon life electric light clean towel basin mantle figure mind place laugh belong adventure adventuresome rage share wardrobe mirror room beige cold cant ignore train window day saw child pick street game thirty afternoon molly boy starting rhymic teasing second daughter fell young locked folk prison made dwell til theyre braiding grey hair sitting wishing chair sitting wishing chair sitting wishing chair,ENGLISH
17,/10000-maniacs/,sir love,/10000-maniacs/to-sir-with-love.html,[original version lulu] schoolgirl day telling tale biting nail gone mind still live thank someone taken crayon perfume isnt easy ill try wanted sky would write across sky letter would soar thousand foot high sir love closing book long last look must end leave leaving best friend friend taught right wrong weak strong thats lot learn give return wanted moon would try make start would rather let give heart sir love awkward year hurried fly away sir child grow people one day take place climbing tree dirty knee world outside buy wanted world id surround wall id scrawl word letter ten foot tall sir love,ENGLISH
18,/10000-maniacs/,stockton gala days,/10000-maniacs/stockton-gala-days.html,summer field grew high foxglove stalk ivy wild apple blossom everywhere emerald green none seen apart dream escape girl warm ive learned please doubt need youll never youll never summer field grow high made garland crown hiding pulled stem flower hair blue stream none seen apart dream escape girl bold ive learned please doubt need youll never youll never youll never violet serene none seen apart dream escape girl warm ive learned please doubt need youll never youll never youll never summer field grow high wildflower fever lay grow ive learned hide ive locked inside youd surprised shown youll never youll never,ENGLISH
19,/10000-maniacs/,poison well,/10000-maniacs/poison-in-the-well.html,music dennis drewwords natalie merchant tell whats gone wrong tilt head faucet turn dry paper call neighbor who blame whats going dark without clue tell u there poison well someone bit untidy there small spill lot drop mistaken wonder long knew well poisoned let u drink tell u there poison well someone bit untidy there small spill amount tear salted sea someone bit untidy theyll cleaned week week grown year since told calm there nothing fear drank water year wife child tell fight bearable life fought lost backyard tell u there poison well someone bit untidy there small spill amount tear salted sea someone bit untidy theyll cleaned week,ENGLISH
20,/10000-maniacs/,gold rush brides,/10000-maniacs/gold-rush-brides.html,spoken intro woman diary westward journey lillian schlissel young folk good mother giving birth baby three baby born company summer cousin emily gave birth son utah forty mile north great salt lake one morning next morning traveled til noon stop made another child born susan mollmeyer gave baby name alice nevada follow typical sign handpainted line prairie road pas lone church spire pas talking wire there way divide beauty sky wild western plain man could drift legendary myth roaming space land free price right dakota wall whiterobed woman broad yet maidenly power hand hail wagon man family see indian crawl mural recall history homestead wife gold rush bride anybody work survive yellow fever life page wrote land free yet cost life miner lust gold family house bought sold piece piece widow staked claim dollar name painfully letter mailed back home eastern sister would moan would read account madness childbirth loneliness grief,ENGLISH
21,/10000-maniacs/,hey jack kerouac,/10000-maniacs/hey-jack-kerouac.html,hey jack kerouac think mother tear cried would cry none little boy lost little world hated dared drag little boy courageous chose word mouth babe lost world hipflash slinging madman steaming caf flirt spoke hey jack tricky part brightest star shadow san francisco beat boy favourite sit rattle bone think blood stoned day chose word mouth babe lost world hipflask slinging madman steaming caf flirt chinatown howling night allen baby jaded boy grown beauty faded billy saint made mary mexico soul day chose word mouth babe lost world cool junk booting madman street minded girl harlem howling night tear stained shock world youve gone away without saying goodbye,ENGLISH
22,/10000-maniacs/,lilydale,/10000-maniacs/lilydale.html,far away noise street walk path narrow place feel ease think haunting drawn cemetery ground there stillness thankful found child pose angelic stone lamb foot part matted overgrowth read carven elegy think haunting drawn cemetery ground there stillness thankful found born new albion rice family elite wed myron bilowe thrice son blessed think haunting drawn cemetery ground god acre fenced hollow ground soon rise amelia tender sweet last word spoke well peace think haunting drawn cemetery ground god acre fenced hollow ground,ENGLISH
23,/10000-maniacs/,campfire song,/10000-maniacs/a-campfire-song.html,lie say mountain coal vein bed dig men ax dig lie ssay river mant fish swim half catch mine haul net never believe greed blinding ray devil redeemer cheat hell take gold he lying cold lie say mine gave diamond big fist every gem pocket jewel missed lie say garden growing taller day eats best toss rest away never believe greed blinding ray devil redeemer cheat hell take gold he lying cold six deep grave something reach something wanted something reach he taunted something reach beg steal buy oldest pain fear life therell oldest pain fear life therell lie say forest tree block sun cut answer anyone never believe greed blinding ray devil redeemer cheat hell take gold he lying cold,ENGLISH
24,/10000-maniacs/,room everything,/10000-maniacs/a-room-for-everything.html,looking away western sky calling color spilling running dazzling looking way voice call east saw root tree planted foot could searching place small room everything world world revolve wait wouldnt hold back suppose clever one word came easy could say writing song maybe verse yet tobe found wait inside secret room tangled web unweave wait knowing way hold still late,ENGLISH
25,/10000-maniacs/,across fields,/10000-maniacs/across-the-fields.html,well left morning hundred pair wing light moved together color morning looked cloud cirrus sky theyd gone across marsh across field fell vine hoped would catch take tell part shinesin heart wind reed blew morning take along place youve gone eye looked away tell song sing tree dawning tell part shine heart ray love forever please take,ENGLISH
26,/10000-maniacs/,never happens,/10000-maniacs/all-that-never-happens.html,walk alone brick lane breeze blowing year changed forever grey home used live close wed look place cant remember world safe knew tried hold hold forever never happens never candle burning love seldom keep earth raw finger overturned considered planting flower wouldnt last long one tend funny thing answer question memory made weary shuddered slowly didnt want distant summer began whisper threw smile way looked glass liquid surface showing melding together present past color fading didnt answer felt slip vision tried hold hold forever close forever silent frozen sleep,ENGLISH
27,/10000-maniacs/,among americans,/10000-maniacs/among-the-americans.html,music robert buck dennis drewlyric natalie merchant dance sun kiss earth embrace stone small black book brandy cask one strange disease well worded paper signed drunken hand thief suddenly told leave snake uncoiled road length eighty mile wagon weary horse lead feverish exile barefoot early snow ridge beheld home coarse barren promised father jaksa chula harjo jaksa chula harjo jaksa chula harjo red stick first dancing ghost pierced arm fire weeping widow left could avenge western star manifest drove clear pacific gone way flesh turned pale died god decree hated cherokee name andrew jackson th president usa,ENGLISH
28,/10000-maniacs/,angels realms glory,/10000-maniacs/angels-from-the-realms-of-glory.html,angel realm glory wing flight oer earth ye sang creation story proclaim messiah birth worship worship worship christ newborn king shepherd field abiding watching oer flock night god man residing yonder shine infant light sage leave contemplation brighter vision beam afar seek great desire nation ye seen natal star saint altar bending watching long hope fear suddenly lord descending temple shall appear,ENGLISH
29,/10000-maniacs/,anthem doomed youth,/10000-maniacs/anthem-for-doomed-youth.html,bell toll sentenced die stuttering rifle stifle cry monstrous anger fear rapid rattle desert inferno kid dying cattle tell prepared ive seen today marine he eighteen he eager quite mean mockries prayer bell demented choir wailing shell boy holding candle untraveled road fear spread fire shrapnel explodes think wrong conscript youth plenty citizenry really kill sign post lead armageddon fire bugle call crowded grey shire woman sit quiet death mind slow dusk descending drawing blind make hunter line idea fun let forgiven never owned gun wailing dead laughing soldier cast lot cut dread,ENGLISH
30,/10000-maniacs/,arbor day,/10000-maniacs/arbor-day.html,wide open falsehood clan destine truth rival till end series duel pardon drapery language choose waltz vienna taught use every tall room fiction leather bound treasure book ceiling gold spine upon spine guile treason faith allegiance wide open falsehood clan destine truth rival till end series duel pardon drapery language choose author grew fat imagine lead pen careening gave voice scheming aryan cabale dethrone guile treason faith allegiance empire unknown baron mistress dine fine banquet hall rebel insurgent plot attic space crawl wide open falsehood clan destine truth rival till end series duel pardon drapery language choose small hand strive explain rant raf people enslaved cant shrewdest capable men guile treason faith allegiance lie hand guile treason faith allegiance lie hand,ENGLISH
31,/10000-maniacs/,back moon,/10000-maniacs/back-o-the-moon.html,jenny jenny night hide second story room whistle man who let divvy miser he silver coin let shine hour sleep away there one rare odd style living part known everybody jenny comical wheres end parade sort people would think unusual jenny tonight upon mock brine luna sea far sail back moon jenny jenny day ive tried telling backyard tale maybe amuse mood never giddy smile delighted youd rather pout lazy child dare fold arm tisk say lie there one rare odd style thinking part known everybody jenny small step giant leap taker head start race toward jenny tonight upon mock brine luna sea far sail back moon sigh meant envy age mine thing sworn true morning would calendar page new printed season opposite side jenny jenny night hide second story room whistle man who let divvy miser he silver coin let shine hour sleep away there one rare odd style living part known everybody jenny tin ship jump bubble head boy push flag powdered soil cry second placer smart looking goose bonnet dance pig high button trouser milk pail farmer daughter merry town sweet walled house ive found back moon ive found back moon,ENGLISH
32,/10000-maniacs/,night,/10000-maniacs/because-the-night.html,take baby hold close try understand desire hunger fire breathe love banquet feed try understand way feel command take hand sun descends cant hurt cant hurt cant hurt night belongs lover night belongs u night belongs lover cause night belongs u doubt baby alone love ring telephone love angel disguised lust bed til morning try understand way feel command take hand sun descends cant hurt cant hurt cant hurt night belongs lover night belongs u night belongs lover night belongs u love sleep doubt vicious circle turn burn without oh cannot live forgive yearning burning believe heal feel take take take night belongs lover night belongs u night belongs lover night belongs u,ENGLISH
33,/10000-maniacs/,beyond blue,/10000-maniacs/beyond-the-blue.html,maniac unreleased song euro australian mtt cd thinking today would remember youd choose remember left cold day fading away see near hear voice calling call page beyond blue sudden soon secret knew thinking today would surrender youd choose surrender feeling tried deserting given choice id still wait moment still wait moment could hero beyond blue sudden soon secret knew day fading away see clear hear voice calling call page beyond blue sudden soon secret knew,ENGLISH
34,/10000-maniacs/,big star,/10000-maniacs/big-star.html,saw big star running world record bed turn table would happen fell tune dreamer tune heart big start running saw world sunning head turn table would fall heaven ring bell baby catch middle lie boy tonight yeah boy tonight big shot singin saw world sunning head pity heart signal center storm inside head center heart center simple mind moon window wink blink nod wish start falling boy tonight big sky signal horoscope said never heed caution never fought lover never cross street alone middle signal red middle drinker heart middle big parade signal horoscope,ENGLISH
